m,Win Total,Over Odds,Under Odds,"Game number
bet settled","Actual
Wins",Result,fangraphs proj,hit/miss,difference
Arizona Diamondbacks,85,-125,105,Game 157,82,Under,80.5,hit,4.5
Atlanta Braves,75,-110,-110,Game 136,90,Over,72.9,miss,2.1
Baltimore Orioles,72.5,-150,130,Game 127,47,Under,75.5,miss,-3
Boston Red Sox,92,-130,110,Game 135,108,Over,92.5,hit,-0.5
Chicago Cubs,93.5,-105,-115,Game 160,95,Over,96.1,hit,-2.6
Chicago White Sox,72.5,-110,-110,Game 149,62,Under,65.2,hit,7.3
Cincinnati Reds,74,-115,-105,Game 155,67,Under,71.1,hit,2.9
Cleveland Indians,94.5,-130,110,Game 153,91,Under,96.4,miss,-1.9
Colorado Rockies,81.5,-120,100,Game 149,91,Over,79.4,miss,2.1
Detroit Tigers,67,115,-135,Game 160,64,Under,69.9,miss,-2.9
Houston Astros,97.5,-120,100,Game 155,103,Over,100.2,hit,-2.7
Kansas City Royals,70,130,-150,Game 139,58,Under,70.9,miss,-0.9
Los Angeles Angels,84.5,105,-125,Game 153,80,Under,82.5,hit,2
Los Angeles Dodgers,95.5,115,-135,Game 145,92,Under,94.6,hit,0.9
Miami Marlins,63.5,-120,100,Game 161,63,Under,64.2,miss,-0.7
Milwaukee Brewers,83.5,-125,105,Game 147,96,Over,79.9,miss,3.6
Minnesota Twins,83,-165,145,Game 147,78,Under,82.9,hit,0.1
New York Mets,82.5,105,-125,Game 149,77,Under,83.9,miss,-1.4
New York Yankees,94.5,-110,-110,Game 154,100,Over,94.4,miss,0.1
Oakland Athletics,75.5,100,-120,Game 126,97,Over,77.9,hit,-2.4
Philadelphia Phillies,78.5,-115,-105,Game 161,80,Over,76.6,miss,1.9
Pittsburgh Pirates,74,120,-140,Game 149,82,Over,76.3,hit,-2.3
San Diego Padres,72.5,100,-120,Game 149,66,Under,71.9,hit,0.6
San Francisco Giants,79.5,-110,-110,Game 155,73,Under,80.5,miss,-1
Seattle Mariners,81.5,-125,105,Game 148,89,Over,77.8,miss,3.7
St Louis Cardinals,86,-120,100,Game 156,88,Over,86.8,hit,-0.8
Tampa Bay Rays,74,-115,-105,Game 138,90,Over,75.6,hit,-1.6
Texas Rangers,75,100,-120,Game 152,67,Under,77.4,miss,-2.4
Toronto Blue Jays,81.5,-115,-105,Game 146,73,Under,84.3,miss,-2.8
Washington Nationals,93.5,-120,100,Game 137,82,Under,92.1,hit,1.4
