Team,Over/Under,Fangraphs Projection,difference,actual # wins,hit/miss
Dodgers,96.5,94.6,1.9,92,hit
Cubs,94.5,96.1,-1.6,95,hit
Nationals,92.5,92.1,0.4,82,hit
Diamondbacks,85.5,80.5,5,82,hit
Cardinals,85.5,86.8,-1.3,88,hit
Angels,84.5,82.5,2,80,hit
Brewers,84.5,79.9,4.6,96,miss
Twins,82.5,82.9,-0.4,78,miss
Rockies,82,79.4,2.6,91,miss
Mariners,81.5,77.8,3.7,89,miss
Giants,81.5,80.5,1,73,hit
Blue Jays,81,84.3,-3.3,73,miss
Mets,81,83.9,-2.9,77,miss
Rangers,77.5,77.4,0.1,67,hit
Rays,77.5,75.6,1.9,90,miss
Athletics,74.5,77.9,-3.4,97,hit
Pirates,73,76.3,-3.3,82,hit
Reds,73.5,71.1,2.4,67,hit
Padres,69.5,71.9,-2.4,66,miss
Marlins,64.5,64.2,0.3,63,hit
Braves,74.5,72.9,1.6,90,miss
Astros,96.5,100.2,-3.7,103,hit
Yankees,94.5,94.4,0.1,100,miss
Indians,94.5,96.4,-1.9,91,miss
Red Sox,91.5,92.5,-1,108,hit
Phillies,75.5,76.6,-1.1,80,hit
Orioles,73,75.5,-2.5,47,miss
Royals,71.5,70.9,0.6,58,hit
Tigers,68.5,69.9,-1.4,64,miss
White Sox,68,65.2,2.8,62,hit
