Book,Odds,Bet Type,Team,Expected Value (%),Probability,Difference,Line,Projection
Fanduel,-105,Under,Los Angeles Dodgers,32.38185738030732,0.6780534158503546,8.799999999999997,102.5,93.7
Fanduel,-110,Under,Atlanta Braves,10.737519486362267,0.5800536734999928,3.4000000000000057,101.5,98.1
Fanduel,-115,Under,Baltimore Orioles,19.86459982754605,0.6411362316357114,6.299999999999997,90.5,84.2
Fanduel,-105,Under,New York Yankees,11.736317214352141,0.5723079662198525,3.0999999999999943,90.5,87.4
Fanduel,-110,Under,Phillidelphia Phillies,16.104259058730435,0.6081651664981118,4.599999999999994,89.5,84.9
Fanduel,-115,Under,Texas Rangers,21.126193064546385,0.647884288484783,6.700000000000003,88.5,81.8
Fanduel,-105,Under,Toronto Blue Jays,10.694629495551425,0.5669724925381903,2.9000000000000057,86.5,83.6
Fanduel,-102,Over,Miami Marlins,13.857449277409287,0.5749237537770172,-3.200000000000003,77.5,80.7
Fanduel,-105,Over,Milwaukee Brewers,10.163464502640032,0.5642518913549855,-2.799999999999997,77.5,80.3
Fanduel,-110,Over,Los Angeles Angles,18.103138292306383,0.6186354862930334,-5.099999999999994,72.5,77.6
Fanduel,-105,Over,Colorodo Rockies,7.967857213875739,0.5530060979247294,-2.3999999999999986,59.5,61.9
Fanduel,-115,Over,Oakland Athletics,33.31784987762982,0.7130954760896479,-12.299999999999997,58.5,70.8
Fanduel,-115,Over,Chicago White Sox,14.498855323454379,0.6124357377766164,-4.799999999999997,61.5,66.3
