Book,Odds,Bet Type,Team,Expected Value (%),Probability,Difference,Line,Projection
Fanduel,-115,Under,Los Angeles Dodgers,28.953619147093242,0.6897519163681731,9.799999999999997,103.5,93.7
BetMGM,-110,Under,Atlanta Braves,9.758171175612375,0.5749237537770172,3.200000000000003,101.5,98.3
Fanduel,-122,Under,Houston Astros,3.170404379900198,0.5669724925381903,2.9000000000000057,93.5,90.6
Fanduel,-105,Under,New York Yankees,12.751075490403728,0.577505508609385,3.299999999999997,90.5,87.2
Fanduel,-110,Under,Philadelphia Phillies,15.688535644779598,0.6059875676631312,4.5,89.5,85
Fanduel,-105,Under,Baltimore Orioles,23.063966342239702,0.6303276324846424,5.700000000000003,89.5,83.8
Fanduel,-112,Under,Texas Rangers,22.004948219898544,0.6445544434258791,6.5,88.5,82
Fanduel,-112,Under,Seattle Mariners,3.5692676821594844,0.5471583953019746,2.200000000000003,87.5,85.3
BetMGM,-105,Under,Minnesota Twins,3.216054147546778,0.528667594414264,1.5999999999999943,86.5,84.9
BetMGM,-105,Under,Toronto Blue Jays,15.640645871111808,0.5923057471447191,3.9000000000000057,87.5,83.6
Fanduel,-115,Over,Tampa Bay Rays,-6.884611965425954,0.49805905227795416,-0.7000000000000028,84.5,85.2
BetMGM,-120,Under,St. Louis Cardinals,-1.9178919820472657,0.5349933164615603,1.7999999999999972,85.5,83.7
BetMGM,-110,Under,San Francisco Giants,-8.472601208614542,0.47942923176440005,0.20000000000000284,83.5,83.3
BetMGM,-110,Under,Arizona Diamondbacks,-3.557297927092918,0.5051760584771323,0.9000000000000057,84.5,83.6
BetMGM,-105,Under,Chicago Cubs,6.826162892290277,0.5471583953019746,2.200000000000003,84.5,82.3
Fanduel,-110,Under,San Deigo Padres,-4.232200233470827,0.5016408559199147,0.7999999999999972,83.5,82.7
BetMGM,-115,Under,Cincinatti Reds,8.444817219563873,0.5800536734999928,3.4000000000000057,82.5,79.1
BetMGM,100,Under,New York Mets,-3.3493162331644086,0.483253418834178,0.29999999999999716,81.5,81.2
BetMGM,-120,Under,Detriot Tigers,0.8519217844225082,0.5501013915513955,2.299999999999997,81.5,79.2
Fanduel,-110,Under,Cleveland Gaurdians,-8.472601208614542,0.47942923176440005,0.20000000000000284,79.5,79.3
BetMGM,-102,Over,Miami Marlins,13.339420761186467,0.5723079662198525,-3.0999999999999943,77.5,80.6
BetMGM,100,Over,Boston Red Sox,8.835320887767267,0.5441766044388363,-2.0999999999999943,77.5,79.6
BetMGM,-110,Over,Milwaukee Brewers,13.526258379087011,0.5946613534142653,-4.0,76.5,80.5
BetMGM,-110,Over,Pittsburg Pirates,2.7271483443979676,0.5380945865658942,-1.9000000000000057,75.5,77.4
Fanduel,-110,Over,Kansas City Royales,6.121211494972549,0.5558730125927134,-2.5,73.5,76
Fanduel,-105,Over,Los Angeles Angles,19.570786899244155,0.6124357377766164,-4.799999999999997,72.5,77.3
Fanduel,-115,Under,Washington Nationals,0.6002922710149932,0.5380945865658942,1.9000000000000057,66.5,64.6
Fanduel,-115,Over,Chicago White Sox,18.535158313474092,0.6340252653976521,-5.900000000000006,60.5,66.4
Fanduel,-115,Over,Colorodo Rockies,4.9752320366230265,0.5614954271726348,-2.700000000000003,59.5,62.2
Fanduel,-120,Over,Oakland Athletics,32.82275298661906,0.7244877435633766,-13.900000000000006,57.5,71.4
